SUBJECT,Subject,LOCATION,Country,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2004-Q1,Q1-2004,CAD,Canadian Dollar,6,Millions,,,15698,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2004-Q2,Q2-2004,CAD,Canadian Dollar,6,Millions,,,19121,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2004-Q3,Q3-2004,CAD,Canadian Dollar,6,Millions,,,16323,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2004-Q4,Q4-2004,CAD,Canadian Dollar,6,Millions,,,13836,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2005-Q1,Q1-2005,CAD,Canadian Dollar,6,Millions,,,12357,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2005-Q2,Q2-2005,CAD,Canadian Dollar,6,Millions,,,12688,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2005-Q3,Q3-2005,CAD,Canadian Dollar,6,Millions,,,16349,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2005-Q4,Q4-2005,CAD,Canadian Dollar,6,Millions,,,20200,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2006-Q1,Q1-2006,CAD,Canadian Dollar,6,Millions,,,14515,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2006-Q2,Q2-2006,CAD,Canadian Dollar,6,Millions,,,10639,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2006-Q3,Q3-2006,CAD,Canadian Dollar,6,Millions,,,11058,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2006-Q4,Q4-2006,CAD,Canadian Dollar,6,Millions,,,11858,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2007-Q1,Q1-2007,CAD,Canadian Dollar,6,Millions,,,13272,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2007-Q2,Q2-2007,CAD,Canadian Dollar,6,Millions,,,14823,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2007-Q3,Q3-2007,CAD,Canadian Dollar,6,Millions,,,9104,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2007-Q4,Q4-2007,CAD,Canadian Dollar,6,Millions,,,8971,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2008-Q1,Q1-2008,CAD,Canadian Dollar,6,Millions,,,12140,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2008-Q2,Q2-2008,CAD,Canadian Dollar,6,Millions,,,15805,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2008-Q3,Q3-2008,CAD,Canadian Dollar,6,Millions,,,14864,,
B6BLTD01,"Goods, balance",CAN,Canada,NCCUSA,"National Currency, Seasonally adjusted",Q,Quarterly,2008-Q4,Q4-2008,CAD,Canadian Dollar,6,Millions,,,1436,,
